cidade,target,optimizer,lr,MAE,RMSE,R
Egypt Mut,GSR,sgd,0.0001,60.97013854980469,94.06326826928778,0.9062276976516327
Algeria Tamanrasset,GSR,adam,0.001,57.73682403564453,119.00282707382418,0.8449317543313163
Algeria Tamanrasset,GSR,adam,0.0005,48.815757751464844,102.65025667436248,0.8827808181780141
Algeria Tamanrasset,GSR,adam,0.0001,47.43360900878906,96.09705786989527,0.8987539409409455
Algeria Tamanrasset,GSR,sgd,0.001,47.258079528808594,95.39715502833404,0.8999440454485069
Algeria Tamanrasset,GSR,sgd,0.0005,47.478416442871094,96.27181672386006,0.8968632248133326
Algeria Tamanrasset,GSR,sgd,0.0001,53.08465576171875,101.45651200452832,0.8856427551343868
Nigeria Borno,DSR,adam,0.001,19.897724151611328,35.96430386291037,0.8952034039600358
Nigeria Borno,DSR,adam,0.0005,17.66368293762207,35.166923726906546,0.8951691548981696
Nigeria Borno,DSR,adam,0.0001,17.060894012451172,35.22995225845207,0.8927918501361912
Nigeria Borno,DSR,sgd,0.001,17.970136642456055,35.557783353736355,0.8907761269595624
Nigeria Borno,DSR,sgd,0.0005,18.635780334472656,35.74280651786367,0.889720545072406
Nigeria Borno,DSR,sgd,0.0001,20.56137466430664,36.94980495127816,0.8820992241629119
Nigeria Abuja,DNI,adam,0.001,34.182579040527344,50.262635421665365,0.7518264616057233
Nigeria Abuja,DNI,adam,0.0005,29.451873779296875,41.99817617180313,0.8038768285809161
Nigeria Abuja,DNI,adam,0.0001,24.135059356689453,35.24127565463011,0.8545416301593713
Nigeria Abuja,DNI,sgd,0.001,24.277896881103516,35.2747534015344,0.8533046081247442
Nigeria Abuja,DNI,sgd,0.0005,25.35967254638672,36.01544875228025,0.8489828453026863
Nigeria Abuja,DNI,sgd,0.0001,31.079458236694336,44.40202054761627,0.7741395483472564
Nigeria Akure,DNI,adam,0.001,33.26698303222656,48.730850605968804,0.6516681832216903
Nigeria Akure,DNI,adam,0.0005,28.34029769897461,39.91630036910047,0.7418911720938226
Nigeria Akure,DNI,adam,0.0001,27.420835494995117,37.079456689633915,0.7692120653192395
Nigeria Akure,DNI,sgd,0.001,27.369157791137695,36.87368906568069,0.7773695807761175
Nigeria Akure,DNI,sgd,0.0005,27.505130767822266,37.876426141157545,0.7627593340996508
Nigeria Akure,DNI,sgd,0.0001,33.14095687866211,45.18964487475256,0.6659349468202791
